"(0.3514, -0.2365, -0.1968, -0.1949, -0.0863)",[ 3.3793 -1.2376  0.25  ]
"(0.3094, 0.4925, 0.4629, -0.1565, 0.3523)",[2.061  2.5772 0.25  ]
"(0.1157, -0.4121, 0.0578, 0.3772, 0.428)",[3.4905 0.9227 0.25  ]
"(0.339, -0.1037, -0.2424, 0.2975, 0.0062)",[ 3.6355 -0.1753  0.25  ]
"(0.2312, -0.4059, -0.0095, 0.4335, 0.4635)",[3.4413 0.9989 0.25  ]
"(-0.4137, 0.2597, 0.4613, -0.3463, -0.0408)",[3.4743 0.8149 0.25  ]
"(0.4124, 0.2546, -0.2049, -0.0035, 0.2845)",[3.3598 1.3618 0.25  ]
"(0.273, -0.0413, -0.2412, 0.2292, -0.4313)",[ 3.2972 -1.5038  0.25  ]
"(-0.4171, -0.0979, -0.3272, -0.2378, 0.1323)",[ 3.3774 -0.8196  0.25  ]
"(-0.165, 0.3236, -0.2667, -0.0649, -0.0461)",[3.663  0.0381 0.25  ]
"(0.2536, -0.4624, 0.0886, -0.1189, 0.1869)",[ 3.62   -0.4034  0.25  ]
"(0.4328, 0.2717, -0.1908, 0.0058, 0.3029)",[3.3364 1.405  0.25  ]
"(-0.1149, -0.1017, -0.0305, 0.2623, -0.2832)",[ 3.5487 -0.9465  0.25  ]
"(0.0566, 0.182, -0.4076, 0.2235, -0.0982)",[ 3.6548 -0.3313  0.25  ]
"(-0.0499, 0.3078, -0.4425, 0.1768, -0.4719)",[ 3.3666 -1.3666  0.25  ]
"(0.3374, -0.4098, -0.0096, 0.4311, 0.4601)",[3.401  1.0472 0.25  ]
"(-0.1356, 0.2268, -0.504, -0.0307, 0.2573)",[3.5882 0.3849 0.25  ]
"(-0.3831, 0.2882, 0.4774, 0.148, 0.0479)",[3.0968 1.5828 0.25  ]
"(-0.3188, 0.3081, -0.4422, 0.1773, -0.4718)",[ 3.3006 -1.4612  0.25  ]
"(0.382, -0.4029, 0.0657, -0.3963, 0.4375)",[3.5946 0.1819 0.25  ]
"(-0.4113, 0.2648, 0.4639, -0.3477, 0.2554)",[3.126 1.643 0.25 ]
"(0.3115, 0.2778, -0.2141, -0.0665, 0.2387)",[3.488  1.0823 0.25  ]
"(-0.1676, 0.3213, -0.4976, -0.3186, -0.2284)",[ 3.2993 -1.1631  0.25  ]
"(-0.2586, 0.1717, 0.4016, -0.3982, -0.4379)",[ 3.5202 -0.8043  0.25  ]
"(-0.1739, 0.3071, -0.2721, 0.0595, 0.0968)",[3.6204 0.6033 0.25  ]
"(0.2221, -0.175, -0.2138, -0.0509, 0.0741)",[ 3.627  -0.4717  0.25  ]
"(-0.4085, 0.494, 0.4638, -0.1575, 0.3551)",[2.3659 2.4237 0.25  ]
"(-0.4815, 0.4175, -0.5021, 0.3574, 0.1777)",[3.474  0.9744 0.25  ]
"(-0.2083, -0.1094, 0.3716, 0.0547, -0.21)",[ 3.646  -0.2696  0.25  ]
"(-0.1294, -0.0229, -0.0221, -0.4415, -0.3732)",[ 3.0849 -1.7449  0.25  ]
"(0.0092, -0.238, 0.4726, -0.1952, -0.2787)",[ 3.5641 -0.7857  0.25  ]
"(-0.1123, 0.27, -0.3098, -0.3903, -0.1005)",[ 3.4659 -0.7504  0.25  ]
"(0.0882, -0.1054, 0.3742, -0.1254, -0.4847)",[ 3.4507 -1.1609  0.25  ]
"(-0.2411, 0.3359, -0.1434, 0.4448, 0.4856)",[2.6934 2.2796 0.25  ]
"(-0.4082, -0.0338, -0.3131, -0.0957, 0.1497)",[ 3.5172 -0.5322  0.25  ]
"(-0.0165, 0.0979, 0.4677, 0.0969, -0.2019)",[3.5191 0.5524 0.25  ]
"(0.376, -0.4194, 0.0516, -0.4061, -0.5106)",[ 2.4019 -2.4975  0.25  ]
"(0.2021, 0.3458, 0.1367, 0.148, -0.0049)",[3.2958 1.3238 0.25  ]
"(-0.0364, -0.4824, 0.0087, -0.4788, 0.2969)",[ 3.4194 -0.7137  0.25  ]
"(0.0487, -0.302, -0.4014, 0.2581, 0.1884)",[ 3.5825 -0.4808  0.25  ]
"(0.3775, 0.3699, 0.4421, 0.175, -0.2509)",[3.0823 1.2374 0.25  ]
"(0.3873, -0.4971, 0.4032, -0.1461, -0.2173)",[ 3.3977 -1.1934  0.25  ]
"(-0.2738, 0.167, -0.4431, -0.0636, -0.4425)",[ 3.0033 -1.8596  0.25  ]
"(-0.1813, -0.0424, -0.3116, -0.0622, 0.1479)",[ 3.608  -0.3394  0.25  ]
